Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Ferdinand,25,"$1,020,203 ","$80,551,057 ",8,25,"$676,990 "
Proud Mary,23,"$1,326,285 ","$19,250,153 ",4,26,"$548,420 "
Thor: Ragnarok,30,"$181,829 ","$313,694,838 ",14,28,"$244,950 "
Wonder,27,"$430,758 ","$130,563,198 ",12,29,"$234,945 "
Justice League,28,"$306,788 ","$228,050,134 ",12,30,"$194,326 "
All the Money in the World,29,"$224,789 ","$24,530,696 ",6,32,"$126,890 "
The Insult,37,"$60,872 ","$143,712 ",4,33,"$110,583 "
Daddy's Home 2,32,"$152,768 ","$103,751,252 ",13,34,"$96,821 "
Murder on the Orient Express (2017),34,"$127,129 ","$102,513,318 ",13,35,"$72,197 "
Film Stars Don't Die in Liverpool,42,"$34,229 ","$246,262 ",6,38,"$51,614 "
Mary and the Witch's Flower,33,"$136,114 ","$1,784,811 ",3,39,"$51,307 "
The Disaster Artist,35,"$99,095 ","$20,910,950 ",10,40,"$50,923 "
The Florida Project,39,"$58,071 ","$5,659,113 ",18,41,"$47,521 "
In the Fade,43,"$30,833 ","$142,269 ",6,43,"$41,483 "
Along with the Gods: The Two Worlds,38,"$60,073 ","$1,800,193 ",7,44,"$33,769 "
Father Figures,52,"$13,116 ","$17,413,119 ",7,45,"$33,212 "
Faces Places,51,"$14,068 ","$722,829 ",18,46,"$31,173 "
The Star,40,"$52,898 ","$40,785,511 ",12,47,"$28,814 "
A Beautiful Planet,49,"$16,669 ","$13,085,603 ",93,48,"$22,501 "
Loving Vincent,45,"$23,647 ","$6,580,924 ",20,49,"$20,125 "
The Square,46,"$23,449 ","$1,384,256 ",15,50,"$19,423 "
The Final Year,41,"$37,694 ","$141,550 ",3,51,"$17,313 "
Happy End,48,"$21,008 ","$197,697 ",7,53,"$13,709 "
Jane (2017),57,"$10,201 ","$1,642,109 ",16,54,"$13,444 "
The Breadwinner,71,"$4,532 ","$256,205 ",12,55,"$12,061 "
Tom of Finland,104,$76 ,"$348,362 ",17,59,"$6,391 "
Beuys,60,"$7,684 ","$24,953 ",3,60,"$5,990 "
In Between,80,"$2,803 ","$39,708 ",5,62,"$5,247 "
BPM (Beats Per Minute),82,"$2,579 ","$99,972 ",16,63,"$4,982 "
BOMBSHELL: The Hedy Lamarr Story,50,"$14,561 ","$240,206 ",11,64,"$4,907 "
A Ciambra,62,"$7,559 ","$17,433 ",3,66,"$4,618 "
"Roman J. Israel, Esq.",54,"$11,421 ","$11,942,780 ",12,67,"$4,390 "
Hubble 3D,84,"$2,177 ","$52,000,383 ",412,68,"$4,283 "
Humor Me,53,"$11,538 ","$21,007 ",4,69,"$4,111 "
Django,66,"$5,455 ","$40,728 ",5,70,"$4,047 "
My Friend Dahmer,74,"$4,068 ","$1,343,935 ",14,71,"$3,012 "
Under the Sea 3D,72,"$4,522 ","$35,701,972 ",469,72,"$2,890 "
Big Sonia,69,"$5,055 ","$154,416 ",12,73,"$2,858 "
Wastelander,64,"$5,929 ","$49,731 ",4,75,"$2,706 "
Ex-File 3 (Qian Ren 3),61,"$7,648 ","$831,466 ",6,76,"$2,581 "
The Road Movie,75,"$4,019 ","$28,700 ",3,77,"$2,134 "
Ridge Runners,65,"$5,802 ","$19,256 ",3,78,"$2,106 "
Vazante,77,"$3,991 ","$10,902 ",4,80,"$1,874 "
1945,90,"$1,334 ","$272,771 ",14,81,"$1,472 "
Novitiate,88,"$1,427 ","$577,501 ",15,85,$980 
Memories of Underdevelopment (2017 re-release),94,"$1,003 ","$22,792 ",4,86,$942 
Born to Be Wild (IMAX),78,"$3,730 ","$25,628,328 ",357,87,$909 
God's Own Country,85,"$1,980 ","$326,549 ",15,88,$881 
Parchi,70,"$4,595 ","$67,123 ",4,89,$860 
The Other Side of Hope,97,$716 ,"$181,322 ",10,94,$637 
The Divine Order,93,"$1,046 ","$68,046 ",15,96,$602 
Birdboy: The Forgotten Children,83,"$2,393 ","$33,860 ",8,97,$575 
Freak Show,87,"$1,641 ","$16,136 ",4,98,$528 
Mama Africa Miriam Makeba,86,"$1,689 ","$8,123 ",3,99,$481 
Jumanji: Welcome to the Jungle,1,"$10,930,222 ","$352,572,974 ",8,4,"$10,023,344 "
The Greatest Showman,4,"$7,695,644 ","$137,370,816 ",8,5,"$6,443,343 "
Maze Runner: The Death Cure,2,"$10,474,895 ","$40,035,094 ",3,6,"$6,222,303 "
The Post,5,"$5,218,122 ","$67,202,632 ",8,8,"$3,631,998 "
The Shape of Water,9,"$4,448,520 ","$44,728,570 ",11,9,"$3,177,255 "
Den of Thieves,8,"$4,551,163 ","$36,152,095 ",4,10,"$2,999,379 "
Hostiles,6,"$5,108,228 ","$20,822,641 ",8,11,"$2,824,754 "
12 Strong,7,"$4,706,481 ","$37,300,034 ",4,12,"$2,743,248 "
