Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Jan 17-20MLK wknd,2014,3,"$177,312,805 ",41.10%,"$213,241,808 ",29%,68,Ride Along,/weekend/2014W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_58
Jan 10-12,2014,2,"$112,448,084 ",-5.50%,"$140,678,920 ",-0.40%,90,Lone Survivor,/weekend/2014W02/?ref_=bo_wey_table_59
Jan 3-5,2014,1,"$118,936,215 ",-29.10%,"$141,235,662 ",-28.40%,82,Frozen,/weekend/2014W01/?ref_=bo_wey_table_60
Dec 27-29,2013,52,"$167,837,974 ",24.50%,"$197,177,755 ",37.30%,81,The Hobbit: The Desolation of Smaug,/weekend/2013W52/?ref_=bo_wey_table_1
Dec 20-22,2013,51,"$134,837,792 ",-2.60%,"$143,571,365 ",-2.80%,80,The Hobbit: The Desolation of Smaug,/weekend/2013W51/?ref_=bo_wey_table_2
Dec 13-15,2013,50,"$138,369,003 ",64.80%,"$147,702,714 ",56.20%,94,The Hobbit: The Desolation of Smaug,/weekend/2013W50/?ref_=bo_wey_table_3
Dec 6-8,2013,49,"$83,941,456 ",-55.70%,"$94,535,353 ",-54.60%,96,Frozen,/weekend/2013W49/?ref_=bo_wey_table_4
Nov 27-Dec 1Thanksgiving 5-Day,2013,48,"$268,488,814 ",-3.80%,"$292,303,215 ",0.90%,50,The Hunger Games: Catching Fire,/weekend/2013W47/occasion/us_thanksgiving_5/?ref_=bo_wey_table_7
Nov 22-24,2013,47,"$214,593,579 ",86.40%,"$226,500,439 ",77.90%,109,The Hunger Games: Catching Fire,/weekend/2013W47/?ref_=bo_wey_table_8
Nov 15-17,2013,46,"$115,112,784 ",-27.10%,"$127,348,048 ",-24.20%,117,Thor: The Dark World,/weekend/2013W46/?ref_=bo_wey_table_9
Nov 8-10,2013,45,"$157,930,421 ",36.20%,"$167,996,561 ",31.20%,124,Thor: The Dark World,/weekend/2013W45/?ref_=bo_wey_table_10
Nov 1-3,2013,44,"$115,987,099 ",24.30%,"$128,021,451 ",24.30%,120,Ender's Game,/weekend/2013W44/?ref_=bo_wey_table_11
Oct 25-27,2013,43,"$93,288,479 ",2.80%,"$103,005,325 ",-1.40%,117,Bad Grandpa,/weekend/2013W43/?ref_=bo_wey_table_12
Oct 18-20,2013,42,"$90,753,518 ",-12.30%,"$104,483,096 ",-10.30%,121,Gravity,/weekend/2013W42/?ref_=bo_wey_table_13
Oct 11-14Columbus Day wknd,2013,41,"$119,207,873 ",-19.20%,"$131,493,515 ",-17.10%,54,Gravity,/weekend/2013W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_15
Oct 4-6,2013,40,"$111,457,653 ",21.70%,"$126,592,855 ",17%,132,Gravity,/weekend/2013W40/?ref_=bo_wey_table_16
Sep 27-29,2013,39,"$91,565,449 ",31.10%,"$108,160,536 ",23.90%,135,Cloudy with a Chance of Meatballs 2,/weekend/2013W39/?ref_=bo_wey_table_17
Sep 20-22,2013,38,"$69,831,206 ",-19.30%,"$87,331,800 ",-15.70%,141,Prisoners,/weekend/2013W38/?ref_=bo_wey_table_18
Sep 13-15,2013,37,"$86,531,368 ",40.30%,"$103,651,335 ",21.90%,134,Insidious: Chapter 2,/weekend/2013W37/?ref_=bo_wey_table_19
Sep 6-8,2013,36,"$61,672,745 ",-27.40%,"$85,014,635 ",-32%,135,Riddick,/weekend/2013W36/?ref_=bo_wey_table_20
Aug 30-Sep 2Labor Day wknd,2013,35,"$110,020,537 ",8.90%,"$162,136,448 ",21%,112,Lee Daniels' The Butler,/weekend/2013W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_22
Aug 23-25,2013,34,"$83,842,081 ",-26.20%,"$109,886,108 ",-21.20%,116,Lee Daniels' The Butler,/weekend/2013W34/?ref_=bo_wey_table_23
Aug 16-18,2013,33,"$113,572,527 ",-17.50%,"$139,521,935 ",-12.40%,116,Lee Daniels' The Butler,/weekend/2013W33/?ref_=bo_wey_table_24
Aug 9-11,2013,32,"$137,650,749 ",16.70%,"$159,265,982 ",15.30%,103,Elysium,/weekend/2013W32/?ref_=bo_wey_table_25
Aug 2-4,2013,31,"$117,938,083 ",-22.30%,"$138,139,733 ",-19.90%,100,2 Guns,/weekend/2013W31/?ref_=bo_wey_table_26
Jul 26-28,2013,30,"$151,703,400 ",-13%,"$172,372,267 ",-11.90%,104,The Wolverine,/weekend/2013W30/?ref_=bo_wey_table_27
Jul 19-21,2013,29,"$174,305,736 ",-5.20%,"$195,751,234 ",-0.50%,109,The Conjuring,/weekend/2013W29/?ref_=bo_wey_table_28
Jul 12-14,2013,28,"$183,777,279 ",-16.20%,"$196,649,715 ",-14.40%,109,Despicable Me 2,/weekend/2013W28/?ref_=bo_wey_table_29
Jul 5-7,2013,27,"$219,263,985 ",21.50%,"$229,781,413 ",20.50%,95,Despicable Me 2,/weekend/2013W27/?ref_=bo_wey_table_30
Jun 28-30,2013,26,"$180,411,163 ",-21.10%,"$190,698,431 ",-20.70%,104,Monsters University,/weekend/2013W26/?ref_=bo_wey_table_31
Jun 21-23,2013,25,"$228,593,120 ",18.50%,"$240,393,582 ",17.80%,107,Monsters University,/weekend/2013W25/?ref_=bo_wey_table_32
Jun 14-16,2013,24,"$192,954,929 ",36.50%,"$204,034,802 ",36.70%,102,Man of Steel,/weekend/2013W24/?ref_=bo_wey_table_33
Jun 7-9,2013,23,"$141,384,924 ",-11.40%,"$149,251,384 ",-9.80%,105,The Purge,/weekend/2013W23/?ref_=bo_wey_table_34
May 31-Jun 2,2013,22,"$159,570,972 ",-35.70%,"$165,545,465 ",-35%,110,Fast & Furious 6,/weekend/2013W22/?ref_=bo_wey_table_35
May 24-27Memorial Day wknd,2013,21,"$305,927,990 ",67.50%,"$314,240,146 ",61.90%,97,Fast & Furious 6,/weekend/2013W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_37
May 17-19,2013,20,"$146,889,482 ",-2.50%,"$153,855,241 ",-2.80%,112,Star Trek Into Darkness,/weekend/2013W20/?ref_=bo_wey_table_38
May 10-12,2013,19,"$150,642,459 ",-27.70%,"$158,347,179 ",-27.20%,121,Iron Man 3,/weekend/2013W19/?ref_=bo_wey_table_39
May 3-5,2013,18,"$208,434,380 ",166.80%,"$217,475,021 ",135.50%,119,Iron Man 3,/weekend/2013W18/?ref_=bo_wey_table_40
Apr 26-28,2013,17,"$78,125,503 ",-19%,"$92,351,407 ",-16.60%,120,Pain & Gain,/weekend/2013W17/?ref_=bo_wey_table_41
Apr 19-21,2013,16,"$96,489,683 ",-7.70%,"$110,719,635 ",-5.10%,120,Oblivion,/weekend/2013W16/?ref_=bo_wey_table_42
Apr 12-14,2013,15,"$104,482,953 ",-16.30%,"$116,712,085 ",-13.40%,122,42,/weekend/2013W15/?ref_=bo_wey_table_43
Apr 5-7,2013,14,"$124,827,157 ",-9.30%,"$134,763,712 ",-8.50%,127,Evil Dead,/weekend/2013W14/?ref_=bo_wey_table_44
Mar 29-Apr 1Easter wknd,2013,13,"$155,717,819 ",19.90%,"$164,811,685 ",21.10%,53,G.I. Joe: Retaliation,/weekend/2013W13/occasion/easter_weekend/?ref_=bo_wey_table_45
Mar 22-24,2013,12,"$127,241,394 ",37.10%,"$138,891,569 ",29.30%,121,The Croods,/weekend/2013W12/?ref_=bo_wey_table_47
Mar 15-17,2013,11,"$92,776,114 ",-25.50%,"$107,411,683 ",-23.70%,108,Oz the Great and Powerful,/weekend/2013W11/?ref_=bo_wey_table_48
Mar 8-10,2013,10,"$124,576,195 ",41.90%,"$140,687,760 ",28.30%,112,Oz the Great and Powerful,/weekend/2013W10/?ref_=bo_wey_table_49
Mar 1-3,2013,9,"$87,821,690 ",4.30%,"$109,621,873 ",5.90%,106,Jack the Giant Slayer,/weekend/2013W09/?ref_=bo_wey_table_50
