Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Jul 5-7,2019,27,174209668,25.50%,183814074,21.10%,96,Spider-Man: Far from Home,/weekend/2019W27/?ref_=bo_wey_table_19
Jun 28-30,2019,26,138825078,-26.90%,151841304,-25.50%,96,Toy Story 4,/weekend/2019W26/?ref_=bo_wey_table_20
Jun 21-23,2019,25,189899923,53.60%,203833169,50%,102,Toy Story 4,/weekend/2019W25/?ref_=bo_wey_table_21
Jun 14-16,2019,24,123601448,-21.90%,135914033,-18%,100,Men in Black: International,/weekend/2019W24/?ref_=bo_wey_table_22
Jun 7-9,2019,23,158327825,-5.50%,165733750,-4.80%,101,The Secret Life of Pets 2,/weekend/2019W23/?ref_=bo_wey_table_23
May 31-Jun 2,2019,22,167597113,-3.20%,174090953,-3.90%,106,Godzilla: King of the Monsters,/weekend/2019W22/?ref_=bo_wey_table_24
May 24-27Memorial Day wknd,2019,21,220383863,1%,230819376,1.70%,97,Aladdin,/weekend/2019W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_25
May 17-19,2019,20,139901024,-12.70%,148365208,-11.80%,115,John Wick: Chapter 3 - Parabellum,/weekend/2019W20/?ref_=bo_wey_table_27
May 10-12,2019,19,160271263,-17.30%,168253370,-15.80%,113,Avengers: Endgame,/weekend/2019W19/?ref_=bo_wey_table_28
May 3-5,2019,18,193910218,-51.10%,199858498,-50.30%,113,Avengers: Endgame,/weekend/2019W18/?ref_=bo_wey_table_29
Apr 26-28,2019,17,396469872,316.10%,402087399,268.20%,114,Avengers: Endgame,/weekend/2019W17/?ref_=bo_wey_table_30
Apr 19-22Easter wknd,2019,16,106099675,-18.90%,121560823,-21.50%,74,The Curse of La Llorona,/weekend/2019W16/occasion/easter_weekend/?ref_=bo_wey_table_31
Apr 12-14,2019,15,100437182,-27.20%,111173940,-24.30%,119,Shazam!,/weekend/2019W15/?ref_=bo_wey_table_33
Apr 5-7,2019,14,137908217,6.50%,146937939,6.60%,117,Shazam!,/weekend/2019W14/?ref_=bo_wey_table_34
Mar 29-31,2019,13,129484146,-7%,137830324,-7.40%,120,Dumbo,/weekend/2019W13/?ref_=bo_wey_table_35
Mar 22-24,2019,12,139284316,10.20%,148803456,6.40%,117,Us,/weekend/2019W12/?ref_=bo_wey_table_36
Mar 15-17,2019,11,126418468,-36.20%,139804590,-33.60%,122,Captain Marvel,/weekend/2019W11/?ref_=bo_wey_table_37
Mar 8-10,2019,10,198063125,109.90%,210564349,81.60%,107,Captain Marvel,/weekend/2019W10/?ref_=bo_wey_table_38
Mar 1-3,2019,9,94364496,-14.70%,115975923,-9.40%,114,How to Train Your Dragon: The Hidden World,/weekend/2019W09/?ref_=bo_wey_table_39
Feb 22-24,2019,8,110669509,5.20%,127999939,1.40%,88,How to Train Your Dragon: The Hidden World,/weekend/2019W08/?ref_=bo_wey_table_40
Feb 15-18Presidents' Day wknd,2019,7,126415385,-60.90%,152447001,-55.90%,86,Alita: Battle Angel,/weekend/2019W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_42
Feb 8-10,2019,6,95027517,82.40%,115811896,57.60%,93,The Lego Movie 2: The Second Part,/weekend/2019W06/?ref_=bo_wey_table_43
